File Path	Predicted Class	Predicted Value
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222228.wav	normal	1.5138888888888888
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__195_1308140095331_D.wav	normal	2.5259822560202787
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106031556.wav	extrahls	1.2017543859649122
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__187_1308073994223_C.wav	normal	2.4545454545454546
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106061215.wav	extrahls	1.2017543859649122
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__103_1305031931979_C.wav	normal	2.7
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__123_1306331925797_A.wav	normal	1.4615384615384615
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__110_1305655332337_D.wav	normal	2.4257425742574257
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__191_1308077299430_D.wav	normal	2.423956931359354
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201012172010.wav	artifact	0.9593908629441624
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_A.wav	normal	2.5259822560202787
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__142_1306763049574_C.wav	normal	2.7385204081632653
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__243_1309197760898_D.wav	normal	2.4257425742574257
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__287_1311170903290_D.wav	normal	2.4489164086687305
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__237_1308750231222_C1.wav	normal	2.5280898876404496
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__294_1311681084248_D.wav	normal	2.1160493827160494
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108011117.wav	normal	2.0122699386503067
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__161_1307101199321_D.wav	normal	2.5488095238095236
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__113_1306244002866_C.wav	normal	2.5259822560202787
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__154_1306935608852_A.wav	normal	2.5488095238095236
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_C.wav	normal	2.5259822560202787
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__203_1308162026258_C.wav	normal	2.5066006600660065
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__118_1306262335509_C2.wav	normal	2.4965635738831615
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201101091156.wav	normal	2.4210526315789473
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__163_1307104470471_D.wav	normal	2.4545454545454546
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__220_1308250132896_A.wav	normal	2.5259822560202787
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__145_1307987561278_D.wav	normal	2.4499252615844545
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__136_1306429977501_D.wav	normal	2.423956931359354
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__103_1305031931979_A.wav	normal	2.4965635738831615
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__245_1309200438094_C.wav	normal	1.5357142857142858
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__128_1306344005749_C.wav	normal	2.568758344459279
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_B.wav	normal	2.423956931359354
