File Path	Predicted Class	Predicted Value
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222228.wav	murmur	1.3
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__195_1308140095331_D.wav	normal	2.01
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106031556.wav	artifact	0.74
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__187_1308073994223_C.wav	normal	1.94
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106061215.wav	artifact	0.34
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__103_1305031931979_C.wav	normal	2.27
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__123_1306331925797_A.wav	murmur	1.23
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__110_1305655332337_D.wav	normal	1.95
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__191_1308077299430_D.wav	normal	1.91
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201012172010.wav	artifact	0.15
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_A.wav	normal	2.15
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__142_1306763049574_C.wav	normal	2.09
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__243_1309197760898_D.wav	murmur	1.56
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__287_1311170903290_D.wav	normal	2.12
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__237_1308750231222_C1.wav	normal	2.13
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__294_1311681084248_D.wav	normal	1.74
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108011117.wav	murmur	1.7
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__161_1307101199321_D.wav	normal	2.26
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__113_1306244002866_C.wav	normal	2.16
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__154_1306935608852_A.wav	normal	2.18
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_C.wav	normal	2.15
