File Path	Predicted Class	Predicted Value
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201108222228.wav	murmur	1.0226571559906006
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__195_1308140095331_D.wav	normal	2.0593180656433105
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106031556.wav	artifact	-0.07247887551784515
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__187_1308073994223_C.wav	normal	1.956658959388733
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201106061215.wav	artifact	0.18304146826267242
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__103_1305031931979_C.wav	normal	2.8685719966888428
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__123_1306331925797_A.wav	normal	1.3980010747909546
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__110_1305655332337_D.wav	normal	1.8400499820709229
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__191_1308077299430_D.wav	normal	1.8497260808944702
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Aunlabelledtest__201012172010.wav	artifact	0.3690929114818573
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__159_1307018640315_A.wav	normal	2.9383015632629395
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__142_1306763049574_C.wav	normal	2.4258344173431396
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__243_1309197760898_D.wav	murmur	2.0100414752960205
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__287_1311170903290_D.wav	normal	2.257045269012451
/Users/aryamankedia/Downloads/aiheartbeat/Unlabelled/Bunlabelledtest__237_1308750231222_C1.wav	normal	1.5206291675567627
